"Text Editing","Backward Up List","Ctrl+Alt+U","Editing Text"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Kbd Macro Cycle Ring Next","Ctrl+X Ctrl+K Ctrl+N","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Previous Line","Shift+Up","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Copy Rectangle To Register","Ctrl+X R R","Editing Text"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"gazonk.del","Copy","Alt+W","In Console View"
"Task","New Local Task","Insert","In Tasks View"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Text Editing","End Line","Shift+Ctrl+E","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Open Rectangle","Ctrl+X R O","Editing Text"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Text Editing","Forward Word","Ctrl+Right","Editing Text"
"Text Editing","Universal Argument","Alt+-","Editing Text"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Zap to Char","Esc Z","In Windows"
"Search","Open Search Dialog","Ctrl+H S","In Windows"
"Text Editing","Backward Character","Left","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Step Return","Ctrl+C Ctrl+F","Debugging"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","End Buffer","Ctrl+End","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Pop Tag Mark","Esc Shift+8","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+0","Editing Text"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Navigate","Next","Alt+,","In Windows"
"Text Editing","Comment Next","Esc N","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Text Editing","Undo+","Shift+Ctrl+-","Editing Text"
"Text Editing","Delete Rectangle","Ctrl+X R D","Editing Text"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
